Speaker1,Speaker2
what kind of chromium is it ?,there s more than one kind ?
send that ?,would you ?
what tickets ?,railroad tickets .
ryan !,are you working on a new book ?
go die asshole !,get a job !
afraid not .,should i be worried ?
what ?,nothing .
you can t come in here .,what dya mean ?
i don t drive cross country .,but if you did .
you mean he doesn t like bad guys ., that right ?
nice .,the music ? or the fire ?
it s safe ?,it s safe .
how re we doing ?,better than we thought .
what can i be doing for you ?,you re a pimp ?
dwayne ,you d do this to me !
okay . you ready ?,yeah yeah . jesus .
apartment .,you want me to go up with you ?
right . bring him back .,come on ed .
what are you doing ?,marge maintenance .
excuse me .,yes .
then you use your u soup spoon u .,i like steak .
junior .,got a boyfriend back home ?
do you see anything ?,i don t know .
okay .,nice job back there .
you re shelly ?,i m sorry .
goodbye francis .,goodbye harry .
help me sir ?,help you .
boyd you idiot the shit s coming down !,what does that mean ?
i was flying . . .my responsibility .,that s what you get flight pay for .
 what are you up to ?,nothing .
i guess so .,where s charlie ?
where s your car ?,i left it at work .
how you doin ?,m i gonna see you tonight ?
victor . i love you ,elizabeth . my more than sister .
that s right .,isn t it a little late ?
i think this place is just fine .,you know how i feel about you .
something wrong ?,being back here . gives me the willies .
it s just me .,jezzie ?
do you have a passport ?,several .
now what ?,we re outta motion lotion .
oh god . . .you knew .,i was down in adamant . . .
will you marry me ?,marry you ?
inside .,and the jacket ?
are you expensive ?,no .
okay . hi .,so who s the lucky guy ?
come on in !,that s okay .
got a minute ?,yeah . sure .
i m always bad .,what did you do ?
oops !,all right who serves ?
i m playing to win .,winning isn t everything .
was all i had to say,now i
this way daphne .,now you tore the other one .
let s make us even shall we ?,even ?
 is where miss hall comes in .,excuse me ?
you might be right .,why are you smiling so ?
claire .,jack .
i got an idea what happened .,do you ?
hi daddy . . .,hi to you son . . .
then a little nap ,how do you like my dress ?
besides yourself who is his nearest relation ?,i don t know .
i will never doubt again .,there will never be a need .
sir ?,my suitcase is gone .
very good sir .,yes . well goodnight .
fletch you want an apology ?,you were going to can me right ?
i m sorry . . .,then where is she ?
get the hell outta here !,man it s just like conversation .
evil .,if you believe that .
we haven t said grace yet . richard .,is it my turn ?
do you need help ?,i think so .
matthew you don t have to .,stay back ! i m okay .
hello beautiful .,hi .
delivery !,i said hold on !
but all he had was chocolate milk .,i mean him .
what happened to your hair ?,nothing . it got messed up .
jesus christ .,you wanna bet he s with a girl ?
hey there . tired of breathing ?,hi .
yes .,thank you .
where you from ?,what is this ?
yeah . he s a good man .,what ?
i forgot to thank you for breakfast .,any time sailor .
yeah right . anyway you didn t know .,so what are you saying ?
i m sorry .,don t be . it was worth it .
smith . i am agent smith .,you all look the same to me .
what caliber is my gun ?,yes sir . what caliber is your gun ?
he s not there .,he s here . check the bathroom .
frank . . . the giant bunny rabbit ?,frank ?
ask me them again . one by one .,what do you do ?
don t louis ,louis put me in my coffin . . .
stop where you are .,what ?
i wouldn t mind being famous .,who wouldn t ?
surprise me .,what usually eats a banana ?
emily left me this morning .,she s left before . . .
great . good . content . . .,oh . how come ?
no .,coffee ?
where s the place to go tonight ?,as far as . . . ?
and the notice ?,yes mr . kane .
don t mention it .,i guess i owe you my life .
misunderstood what ! ?,a lot of years have gone by .
no owen .,is that a raincoat ?
this is miss costello . . . ?,yes . price . . .
oh yes .,where from ?
design major .,can we not talk about this ?
no i don t .,please leave me alone .
i sure know what that feels like .,and all the plans we have .
you were how long on this ?,forty three days .
what an adorable hat .,they think i have a concussion .
you re leaving aren t you ?,i have to . . .
i know where my heaven is .,where ?
you two been busy in here .,what happened to adele ?
thanks .,we re all here for you trevor .
yes the mamma is is there .,good night enzo good night jacques .
no you weren t .,i was you bastard .
with who ?,her name s libbets .
do i know you ?,i m ann millaney s sister .
no . no word .,everything depends on the manchester merger .
al ?,big house . how many rooms ?
she showed me a drawing ., you
how about family ? got any family ?,no .
we have some unfinished business .,are you here ?
was it something that happened at school ?,these appointments were not my idea remember .
that was an egg ?,three days ago it was .
are you all right dil ?,i will be .
to tell you ?,yes .
 . . .here comes the . . ., . . .tunnel !
well thanks for the lift .,hey . . .
yeah . my brother told me .,and i think i m going to .
don t go upstairs .,come with me then .
 . . .t thank you .,do me another favor ?
hello .,hello .
dig the pit i don t know .,no not that .
there must be a way to fix this .,fix ?
the package is in the open .,jim . jim . heis in the open .
i m sorry .,why ?
this hair .,yeah .
reilly vice . i ,quiet !
my belt .,don t you have it on ?
damnit . . .,what ?
where s the safe ?,i don t know .
and you re a little fucking reject .,eat my ass !
so there is only one key . . .,that s right . . .
do you know it ?,don t think so .
i know .,did you bleed ?
nothing .,doesn t look like nothing .
he is ,i ll take it from here i am 
thank you .,you re welcome .
are you all right . . . ?,i . . .
well i needed a cold shower .,come on ! check this out !
do you love me conner ?,aye .
go ahead .,i had a dream about this place .
sorry honey he just happened to tag along .,nothing ever really changes does it david ?
how about a drink ?,okay .
you look pretty healthy to me .,i m the next one .
patrick ?,ye es je an ?
they treating you alright ?,don t remember .
the what ?,you know . the finger .
you deny enterprise fired on kronos one ?,well i 
just kidding . are you alone ?,hardly . i couldn t be less alone .
there s a rifle and a shotgun here .,that s fine .
not without you ! ! !,go ! ! !
annabelle pick up the phone .,annabelle pick up the phone .
jake ,what ?
yeah .,say hi to naomi .
i already have a boyfriend nick .,i know . it sucks .
then it s god right ?,it s something .
i didn t dive .,you ll try again tomorrow ?
finished .,but not quite .
just ask me what you want to know .,oh you gonna make me say it .
he left !,yeah come on .
what ?,quick . gimme a quarter .
what re we going to do ? !,there s got to be another way out .
hello ?,hello mom ?
forget it .,forget her sister then .
yes where would you go ?,i don t understand .
i m having a party tomorrow .,yes i know that sweetheart .
colonel kurtz i guess .,i m kurtz .
there . all done . lift me down .,what ?
and did you witness the shoot out ?,yes sir i did .
monsieur .,may i ask how much your rooms are ?
dynamite .,so ?
he fell . he falls .,he must have taken quite a fall .
what do you want ?,what do i want ?
thank you . no . here . . .,i insist that you have it .
would you desert your friends ?,no no . i m with you boy .
does red pepper go under r or p ?,p . dad ?
don t . . . talk crazy .,mama . . . ?
so we won t be going to london ?,no not just yet .
can you see ?,yes . it is the western ocean .
somebody s killed the ,what ? ?
why did you leave me who am you ?,i will never leave you again .
my name is emmett .,and you re not baxter either ?
if . . .,no i m going .
i don t know herman maybe you do .,me ?
you d do this to me ? !,dwayne 
what happened to you ?,as in . . . ?
mara what ? !,kalen we have to get kalen !
yeah ,get inside and get pictures . fifty bucks .
seven years ago .,how many men since then ?
oh . ohhh ?,what re you saying ?
hi i m dick nixon .,you re shittin me .
i like you .,do you ?
you re gonna be okay .,guess i finally got bit .
i m fuckin hammered burt .,you ok ?
gwpaapa . gwpaapa .,kay .
no i don t want anything .,i ll fix you some coffee .
it s her .,he s her ?
dad . . . ?,what d you say ?
was there ?,no . . . of course not .
that was quite a thing you did today .,anybody would have done it .
this guy killed a mess of people .,who ?
surely she is older ?,what difference does i that i make ?
yeah cause maybe he s learned his lesson .,unlikely .
what do you do ?,i m in construction .
ross told me .,really ? what did he say ?
yes .,then go .
you may take her now .,is there time ?
help what ?,y know to help keep ya livin clean .
when ?,we better have a drink first .
those are my breasts .,can i feel em ?
are they usually like that ?,no . just the first one .
she s downstairs with ruth . get ready .,i m ready .
we re all professionals here miss . . .,barrett . dana barrett .
i don t know .,but you might .
hi .,hi there .
he got killed at a turkey shoot .,your brother ?
